timestamp,zone,line,direction,transportMode,latitude,longitude
1720040898476,19,200,Ulricehamn"," Påstigning fram,bus,57.809071,13.189782
1720040898476,19,5,Sjömarken via Resecentrum"," Påstigning fram,bus,57.723602,12.962005
1720040898476,19,2,Tullen"," Påstigning fram,bus,57.725471,12.923153
1720040898476,19,1,Sjöbo"," Påstigning fram,bus,57.749868,12.943163
1720040898476,19,1,Sjöbo"," Påstigning fram,bus,57.731063,12.981098
1720040898476,19,1,Hässleholmen via Sjukhuset"," Påstigning fram,bus,57.724797,12.939388
1720040898476,19,351,Tranemo"," Påstigning fram,bus,57.496624,13.341089
1720040898476,19,1,Hässleholmen via Sjukhuset"," Påstigning fram,bus,57.724797,12.939388
1720040901600,20,250,Jönköping"," Påstigning fram,bus,57.772269,14.131573
1720040917112,25,842,Lysekil"," Påstigning fram,bus,58.32213,11.631673
1720040917112,25,302,Marstrand"," Påstigning fram,bus,57.862629,11.918609
1720040917112,25,303,Kärna"," Påstigning fram,bus,57.862683,11.918564
1720040917112,25,3790,Stenungsund,train/vasttagen,57.954678,11.845841
1720040917112,25,841,Torp Terminalen"," Påstigning fram,bus,58.191212,11.938655
1720040917112,25,361,Rönnäng,ferry,57.930902,11.582682
1720040917112,25,SNU,Göteborg"," Påstigning fram,bus,58.031401,11.829328
1720040917112,25,847,Lysekil via Fiskebäckskil brygga,ferry,58.249677,11.463683
1720040917112,25,670,Kampenhof"," Påstigning fram,bus,58.350635,11.943329
1720040917112,25,842,Torp Terminalen"," Påstigning fram,bus,58.302561,11.510175
1720040917112,25,12,Hovhult"," Påstigning fram,bus,58.368856,11.918123
1720040917112,25,12,Kampenhof"," Påstigning fram,bus,58.347309,11.934475
1720040917112,25,822,Uddevalla via Ammenäs"," Påstigning fram,bus,58.230009,11.878472
1720040917112,25,TEXP,Rönnäng"," Påstigning fram,bus,57.987363,11.563454
1720040917112,25,821,Uddevalla"," Påstigning fram,bus,58.348936,11.931904
1720040920325,26,22,Sandhem via Trollhättan resecentrum"," Påstigning fram,bus,58.283585,12.290888
1720040920325,26,22,Strömslund via Trollhättan resecentrum"," Påstigning fram,bus,58.285221,12.300255
1720040920325,26,21,Skoftebyn"," Påstigning fram,bus,58.289113,12.296632
1720040920325,26,21,Halvorstorp"," Påstigning fram,bus,58.287702,12.298016
1720040920325,26,411,Älvängen"," Påstigning fram,bus,57.958382,12.122835
1720040920325,26,X4,Kungälv"," Påstigning fram,bus,57.849334,12.002343
1720040920325,26,17388,Öxnered,train/vasttagen,57.909184,12.052512
1720040920325,26,860,Trollhättan"," Påstigning fram,bus,58.335003,12.288506
1720040920325,26,560,Sollebrunn"," Påstigning fram,bus,57.965645,12.444505
1720040920325,26,62,Öxnered via Vänersborg resecentrum"," Påstigning fram,bus,58.355723,12.389598
1720040920325,26,62,Öxnered"," Påstigning fram,bus,58.365279,12.280784
1720040920325,26,62,Nordkroken"," Påstigning fram,bus,58.358923,12.384475
1720040920325,26,420,Lödöse södra"," Påstigning fram,bus,58.130076,12.129253
1720040920325,26,68,Vänersborg resecentrum"," Påstigning fram,bus,58.361944,12.348374
1720040920325,26,68,Restad Gård"," Påstigning fram,bus,58.370771,12.33943
1720040920325,26,65,Vänersborg resecentrum via Överby"," Påstigning fram,bus,58.313402,12.294142
1720040920325,26,65,Trollhättan resecentrum via Överby"," Påstigning fram,bus,58.329277,12.297855
1720040920325,26,61,Vänersborg resecentrum"," Påstigning fram,bus,58.379365,12.317163
1720040920325,26,24,Lextorp via Trollhättan resecentrum"," Påstigning fram,bus,58.285715,12.294196
1720040920325,26,24,Sylte"," Påstigning fram,bus,58.287261,12.297998
1720040920325,26,61,NÄL"," Påstigning fram,bus,58.316494,12.27059
1720040920325,26,62,Vänersborg resecentrum"," Extrabuss,bus,58.365324,12.281135
1720040920325,26,525,Sjövik"," Påstigning fram,bus,57.904024,12.339007
1720040920325,26,670,Vänersborg via Trollhättan"," Påstigning fram,bus,58.317681,12.268712
1720040920325,26,3590,Alingsås,train/vasttagen,57.88085,12.465503
1720040920325,26,64,Onsjö"," Påstigning fram,bus,58.351525,12.333596
1720040920325,26,X4,Mölnlycke"," Påstigning fram,bus,57.86911,11.982423
1720040920325,26,403,Nödinge"," Påstigning fram,bus,57.918802,12.063038
1720040920325,26,402,Jennylund"," Påstigning fram,bus,57.864481,12.02283
1720040920325,26,401,Kungälv"," Påstigning fram,bus,57.871852,11.968598
1720040920325,26,550,Borås"," Påstigning fram,bus,57.872023,12.564142
1720040920325,26,543,Alingsås"," Påstigning fram,bus,58.033541,12.810006
1720040920325,26,434,Älvängen"," Påstigning fram,bus,57.980415,12.200358
1720040920325,26,39,Klareberg,taxi,57.857586,11.998145
1720040920325,26,414,Kollanda,taxi,57.945743,12.212511
1720040920325,26,26,Trollhättan resecentrum"," Påstigning fram,bus,58.28887,12.296254
1720040920325,26,640,Grästorp,taxi,58.333223,12.676813
1720040923398,27,200,Lidköping"," Påstigning fram,bus,58.388579,13.574817
1720040923398,27,3491,Göteborg,train/vasttagen,58.117212,13.218161
1720040923398,27,3488,Skövde,train/vasttagen,58.236158,13.655891
1720040923398,27,3366,Lidköping,train/vasttagen,58.16926,12.998699
1720040923398,27,317,Kinnarp"," Påstigning fram,bus,58.128862,13.556165
1720040926485,28,400,Karlsborg"," Påstigning fram,bus,58.393514,13.86952
1720040926485,28,402,Hjo"," Påstigning fram,bus,58.341583,14.188924
1720040926485,28,4,Hasslum"," Påstigning fram,bus,58.391392,13.847388
1720040926485,28,10,Ryd"," Påstigning fram,bus,58.339003,13.819881
1720040926485,28,10,Skultorp"," Påstigning fram,bus,58.390628,13.852027
1720040926485,28,2,Sjukhuset"," Påstigning fram,bus,58.391572,13.841419
1720040938802,32,899,Strömstad,ferry,58.905962,11.049073
1720040941874,33,860,Kungshamn"," Påstigning fram,bus,58.461553,11.688961
1720040941874,33,860,Trollhättan via Uddevalla"," Påstigning fram,bus,58.46932,11.671567
1720040941874,33,871,Strömstad"," Påstigning fram,bus,58.475603,11.639817
1720040944961,34,730,Bengtsfors"," Påstigning fram,bus,58.743536,12.120713
1720040944961,34,700,Ed"," Påstigning fram,bus,58.757802,12.250706
1720040944961,34,710,Vänersborg"," Påstigning fram,bus,58.504629,12.283921
1720040948043,35,106,Lidköping"," Påstigning fram,bus,58.489977,13.184569
1720040951118,36,613,Skövde"," Påstigning fram,bus,58.477878,13.714995
1720040951118,36,505,Töreboda"," Påstigning fram,bus,58.696648,14.118161
1720040951118,36,500,Skövde"," Påstigning fram,bus,58.703651,13.811476
1720040951118,36,4,Trädgårdsstaden"," Påstigning fram,bus,58.414378,13.891435
1720040951118,36,10,Sjukhuset"," Påstigning fram,bus,58.420922,13.876972
1720040951118,36,6,Resecentrum"," Påstigning fram,bus,58.425497,13.873304
1720040951118,36,400,Tibro"," Påstigning fram,bus,58.500737,14.442609
